income_100k,debt_100k,defaulted
0.925,0.441,0
1.550,0.931,0
1.218,0.932,0
2.092,0.542,0
1.030,0.451,0
0.794,1.679,1
1.131,1.750,0
1.442,0.787,0
0.932,0.588,0
1.605,1.101,0
3.206,1.398,0
1.089,0.481,0
1.442,1.695,0
2.597,0.586,0
1.055,1.153,0
0.965,0.483,0
0.863,0.662,0
1.688,0.499,0
1.778,0.648,0
1.319,1.108,0
1.436,0.393,0
2.499,0.543,0
2.080,0.858,0
0.749,0.496,0
1.400,1.923,1
1.474,0.289,0
1.943,2.526,0
1.270,0.447,0
1.050,1.083,0
1.142,1.534,0
0.630,0.853,0
1.386,0.297,0
1.072,0.533,0
1.728,0.663,0
0.883,0.868,0
1.151,1.089,0
0.901,1.176,0
0.866,1.422,1
1.916,0.381,0
1.134,1.095,0
1.707,0.247,0
0.844,0.692,0
1.459,0.357,0
0.653,0.242,0
1.125,1.052,0
1.113,0.628,0
1.813,1.094,0
1.512,0.270,0
1.288,0.329,0
2.031,0.605,0
1.518,0.444,0
1.774,0.664,1
1.966,0.454,0
1.351,0.530,0
1.220,0.342,0
1.612,1.284,0
1.154,0.536,0
1.656,0.335,0
2.289,0.925,0
2.042,0.831,0
1.172,0.718,0
0.781,0.721,0
1.356,0.515,0
1.314,0.594,0
2.285,0.191,0
1.170,0.273,0
1.265,0.326,0
1.934,0.746,0
1.121,1.243,0
1.294,0.583,0
3.001,0.552,0
2.713,1.181,0
1.844,0.523,0
1.568,0.913,0
0.899,0.808,0
1.785,0.309,0
1.426,0.758,0
1.534,0.714,0
1.101,0.341,0
1.382,0.363,0
1.279,0.318,0
1.601,1.350,0
2.638,2.023,1
1.634,0.939,0
0.660,1.504,1
0.898,0.305,0
0.682,1.377,1
0.973,1.876,1
1.785,1.544,0
1.663,0.382,0
1.061,1.155,0
1.566,0.600,0
0.989,1.150,1
0.734,0.449,0
0.739,0.643,0
0.944,0.467,0
2.628,0.828,0
0.760,0.604,1
2.427,1.174,1
2.520,1.002,0
1.279,0.802,0
1.358,0.626,1
1.054,0.541,0
1.373,0.640,0
1.865,0.963,0
1.393,0.686,0
2.171,0.749,0
2.364,0.626,0
1.618,0.613,0
1.607,0.444,0
1.349,0.228,0
1.620,0.874,0
0.841,0.868,1
1.664,0.375,0
1.520,1.820,0
0.941,0.337,0
3.644,1.103,0
0.896,0.734,0
0.938,0.759,0
1.571,1.192,1
0.581,1.059,1
0.971,0.647,0
0.699,0.358,0
0.898,0.327,0
1.306,0.709,0
1.599,1.519,0
2.275,1.035,0
1.990,0.628,0
2.359,0.766,0
1.804,0.930,0
1.123,1.640,1
2.286,0.421,0
1.112,0.951,0
1.051,0.744,0
2.753,0.421,0
1.973,0.366,0
1.528,1.282,0
1.942,0.766,0
2.055,0.570,0
0.751,0.675,0
1.327,1.095,0
0.815,0.673,0
1.463,1.542,0
1.024,0.554,0
2.549,0.416,0
1.748,0.601,0
0.961,0.382,0
1.373,0.528,0
0.803,1.252,1
1.410,1.631,0
1.770,0.904,0
1.558,0.713,1
0.581,0.388,0
1.190,0.369,1
1.739,0.783,0
1.588,0.701,0
2.330,0.465,0
0.776,0.501,0
1.751,1.504,0
1.032,1.101,0
1.510,0.658,0
1.660,0.725,0
1.884,1.289,0
1.067,0.779,0
1.503,0.729,0
0.818,0.270,0
0.733,0.253,0
1.775,0.224,0
1.350,0.186,0
0.668,0.635,0
0.943,0.767,0
1.395,0.396,0
2.783,0.815,0
2.212,0.815,0
1.980,0.613,0
0.619,0.285,0
1.323,1.413,0
1.713,1.361,0
1.650,0.466,0
1.667,1.857,0
1.245,0.656,0
3.048,0.415,0
2.686,0.511,0
1.325,0.231,0
0.890,0.528,0
3.482,0.265,0
1.078,1.191,0
2.368,0.762,0
3.263,0.298,0
0.904,0.877,0
1.575,0.249,0
1.182,0.697,0
1.742,0.831,0
1.597,0.664,1
3.317,0.345,0
1.803,0.602,0
1.377,0.578,0
2.294,0.661,0
1.223,1.447,0
1.173,1.621,1
3.784,1.523,0
0.955,0.451,0
1.109,0.424,0
1.410,0.647,0
0.859,0.812,0
0.535,0.206,0
2.222,0.456,0
0.971,1.711,1
1.083,0.323,0
1.169,0.426,0
0.889,0.433,0
0.852,0.835,0
1.486,0.616,0
4.065,0.534,0
1.925,0.277,0
1.934,0.893,0
0.702,0.639,0
1.367,0.443,0
0.811,0.647,0
1.956,0.985,0
1.247,0.283,0
1.406,0.272,0
1.328,0.364,0
1.063,0.395,0
0.697,0.119,0
1.794,0.458,1
0.742,1.177,0
0.812,0.532,0
1.209,1.116,0
1.006,0.131,1
1.555,0.599,0
2.177,1.369,0
1.546,1.515,0
1.510,0.485,0
1.396,0.405,0
2.033,0.788,0
0.602,0.326,0
1.630,0.522,0
0.908,0.254,0
0.793,0.667,0
1.385,0.640,0
1.161,1.563,1
1.797,0.777,0
2.268,0.443,0
0.485,0.606,0
1.338,0.314,0
3.336,0.650,0
2.042,0.567,0
2.649,0.804,0
1.447,1.066,0
0.724,0.212,0
0.833,0.764,0
1.904,0.957,0
2.128,0.329,0
0.994,1.817,1
1.225,0.429,0
1.555,2.478,1
0.629,0.982,0
1.181,1.087,1
2.862,0.740,0
3.695,1.112,0
1.316,0.360,0
3.151,0.409,0
1.091,0.216,0
0.960,0.860,0
0.505,0.431,0
2.126,0.965,0
1.168,0.886,1
3.961,0.305,0
1.605,0.939,0
1.505,0.736,0
0.613,0.712,0
2.715,0.822,0
1.174,0.628,1
1.286,0.642,0
0.512,1.141,0
2.098,0.368,0
2.157,0.329,0
1.053,0.419,0
1.442,1.128,0
1.650,0.534,0
2.133,1.832,0
1.450,0.117,0
3.003,0.430,0
1.240,0.499,0
1.053,0.740,0
1.121,1.333,0
0.442,0.575,0
0.962,0.364,0
2.177,1.012,0
1.559,1.498,0
0.957,0.156,0
1.620,0.878,0
0.558,0.751,0
1.218,0.403,0
1.753,0.490,0
1.895,0.748,0
0.977,0.648,0
2.088,0.556,0
3.212,0.335,0
1.143,0.746,0
1.933,0.442,0
0.687,0.669,0
0.573,0.461,0
1.825,0.711,0
1.412,0.962,1
1.516,0.726,1
1.066,0.916,0
1.214,0.297,0
1.996,0.823,0
3.003,0.748,0
1.257,0.451,0
0.659,0.582,0
2.460,0.136,0
1.818,0.665,0
1.884,0.508,0
1.505,0.183,0
3.945,0.842,0
1.435,0.448,1
1.748,0.742,0
0.602,0.558,0
1.068,0.831,1
1.018,0.668,0
1.368,0.543,0
1.622,0.835,0
0.990,1.007,0
3.023,0.183,0
0.858,0.646,0
1.132,0.458,0
1.544,0.346,0
0.790,1.305,0
1.793,1.079,0
1.844,0.360,0
1.216,0.344,0
3.276,0.998,0
1.439,0.450,0
1.574,0.531,0
0.900,0.215,1
0.652,0.590,0
1.044,1.188,0
1.200,0.493,0
1.130,0.596,0
1.960,1.661,0
0.474,1.030,0
0.832,1.392,0
0.609,0.899,0
2.537,1.230,0
1.075,0.254,0
1.100,0.404,0
0.844,0.256,0
2.079,2.158,1
1.152,0.702,0
1.533,0.593,0
0.555,0.419,1
2.350,0.363,0
1.657,0.136,0
1.779,2.183,1
2.421,0.607,0
1.272,0.657,0
1.287,0.293,0
1.917,0.614,0
1.682,0.782,0
1.243,0.607,0
1.416,0.892,0
1.106,0.400,0
1.915,0.759,0
2.114,1.038,0
1.391,0.865,0
3.237,0.783,0
0.694,0.600,0
1.250,0.369,0
3.002,0.861,0
1.148,0.512,0
0.675,0.377,0
2.605,0.967,0
1.776,0.262,0
0.810,0.467,0
1.969,0.973,0
0.876,1.069,0
0.759,0.517,0
1.297,0.657,0
1.118,0.856,0
0.847,0.611,1
1.178,0.415,0
0.883,0.806,0
1.427,0.695,0
1.375,0.673,0
1.944,1.172,0
1.131,0.751,0
0.762,0.493,0
0.766,0.694,0
1.243,1.847,0
2.778,0.428,0
2.037,0.549,0
1.040,0.409,0
2.125,0.771,0
0.823,0.317,1
2.194,0.812,0
1.169,0.964,0
1.965,0.415,0
1.840,0.398,0
1.226,0.280,0
1.611,0.650,0
0.858,0.343,0
1.344,0.450,0
2.265,0.504,0
6.000,0.435,0
1.908,1.005,0
1.446,1.527,0
0.880,0.197,0
2.241,0.406,0
0.658,0.729,0
0.967,0.356,0
1.633,0.473,0
0.807,0.713,0
2.785,1.365,0
2.276,1.212,0
1.075,0.541,0
1.082,0.682,0
0.766,0.520,0
0.739,0.577,1
1.697,0.333,0
1.842,0.240,0
1.629,0.519,0
1.567,1.088,0
1.079,0.967,0
1.635,0.228,0
0.715,0.572,0
1.395,0.450,0
2.704,0.744,0
2.526,0.347,0
1.128,1.050,0
1.195,0.568,0
2.589,0.873,0
3.116,1.029,0
0.707,0.218,0
1.147,0.564,0
1.545,1.461,0
2.410,0.643,0
0.952,1.128,0
1.858,0.802,0
1.214,0.483,0
4.065,0.742,0
1.688,1.134,1
1.308,1.292,0
1.195,1.410,0
2.240,0.346,0
1.890,1.003,0
0.852,0.298,0
1.534,0.592,0
0.759,0.567,0
0.988,0.898,0
0.775,0.756,0
0.764,1.264,1
1.020,0.454,0
0.893,1.011,0
1.765,0.788,0
1.993,0.637,0
1.248,0.329,0
0.839,0.870,0
2.000,0.757,0
0.557,0.981,0
0.581,0.623,0
1.932,0.553,0
1.871,0.788,0
2.160,0.820,0
1.262,0.928,0
0.787,1.801,0
1.105,0.453,0
1.797,1.914,0
0.984,0.125,0
1.013,1.078,0
0.741,0.406,0
0.822,1.914,0
2.036,0.391,0
1.708,1.140,0
0.823,0.370,0
0.854,0.342,0
1.079,0.989,0
1.782,1.026,0
0.820,0.434,0
1.289,2.382,1
0.528,0.534,0
0.788,1.501,1
1.682,0.365,0
2.087,0.375,0
0.825,0.669,0
0.981,0.365,0
1.995,0.817,0
1.166,0.196,0
1.089,0.702,0
1.759,0.468,0
1.520,0.376,0
2.299,0.715,0
1.992,0.564,0
1.072,0.498,0
1.318,0.993,0
1.354,0.749,0
0.754,0.784,0
0.896,1.320,1
2.159,0.612,0
0.679,1.008,0
2.181,0.506,0
1.583,0.888,0
1.307,0.850,0
1.775,0.472,0
1.726,0.277,0
2.403,0.316,0
1.162,0.380,0
1.256,0.863,0
1.246,0.592,0
3.258,0.541,0
2.134,0.827,0
0.917,0.950,0
1.198,1.367,1
1.013,0.460,0
1.401,0.861,0
1.534,0.938,0
3.923,0.378,0
0.611,0.682,0
2.217,0.386,0
1.697,0.563,0
1.015,0.802,0
1.303,0.251,0
1.114,0.395,0
1.426,0.409,0
2.196,0.670,0
0.702,0.425,0
2.522,0.781,0
1.178,0.398,0
2.748,0.480,0
1.680,0.887,0
2.434,0.758,0
1.801,0.692,0
2.277,0.624,0
1.432,1.102,0
0.959,1.351,0
1.891,0.520,0
1.924,0.428,0
3.600,0.360,0
0.565,1.644,0
1.278,0.390,0
2.255,0.309,0
0.794,0.737,0
1.261,1.132,0
3.632,0.324,0
2.648,0.595,0
0.940,0.291,0
2.660,0.435,0
2.385,1.551,0
1.985,0.698,0
1.661,0.552,1
1.557,0.662,0
0.945,0.743,0
1.108,0.602,0
1.947,0.333,0
1.491,0.334,0
3.222,1.911,0
1.204,0.419,0
0.474,1.226,0
1.204,0.430,0
1.587,1.297,0
1.664,0.932,0
1.444,0.568,0
0.967,1.911,1
2.748,0.382,0
1.039,0.560,0
1.930,0.399,0
1.231,0.417,0
0.817,0.522,0
2.650,0.378,0
0.452,0.533,0
0.955,1.511,0
1.704,0.246,0
1.194,0.321,0
1.967,0.379,0
1.341,0.494,0
1.144,1.107,1
3.715,0.945,0
1.271,0.827,0
1.307,0.712,0
0.862,2.359,1
1.003,0.344,0
1.882,0.340,0
1.811,0.628,0
1.406,0.713,0
1.025,0.560,0
1.914,0.402,0
0.653,0.312,0
1.206,0.548,0
1.255,0.433,0
0.961,0.490,0
1.507,0.353,0
1.042,1.325,0
0.980,0.815,1
3.169,1.753,0
1.966,0.481,0
2.417,0.658,0
1.442,0.556,0
2.176,0.644,0
2.004,0.554,0
2.435,0.582,0
4.097,0.217,0
1.274,0.549,0
1.586,0.930,0
1.380,0.220,0
0.300,0.527,0
0.753,0.871,0
1.425,1.273,0
1.880,0.608,0
1.091,0.818,0
2.357,1.661,0
2.521,1.294,0
1.175,0.498,0
2.686,0.458,0
3.113,1.112,0
1.745,0.720,0
0.910,0.474,0
2.742,0.562,0
1.316,0.757,1
1.195,0.571,1
1.493,0.555,0
1.113,0.560,1
2.297,0.282,0
2.012,1.645,0
2.455,1.241,0
1.843,1.457,0
0.992,0.592,0
1.321,0.683,0
2.104,0.873,0
1.182,0.998,1
5.280,0.235,0
1.272,0.773,0
1.090,0.369,0
2.380,0.613,0
1.987,0.444,0
1.401,1.616,1
1.279,0.855,0
1.719,0.628,0
2.067,1.364,0
2.000,0.613,0
1.239,0.429,0
1.724,0.576,0
2.075,0.522,0
2.002,0.654,0
0.354,1.008,0
0.951,0.598,0
1.001,0.615,0
1.279,1.108,0
1.538,0.746,0
2.148,1.070,0
1.874,0.686,0
1.340,0.313,0
1.434,0.346,0
3.132,0.258,0
1.077,1.186,0
1.627,0.799,0
2.870,0.492,0
1.658,0.371,0
0.566,0.776,0
1.680,0.593,0
1.192,0.759,0
1.349,0.402,0
2.277,0.348,0
1.753,1.501,0
1.260,0.379,0
2.120,0.630,0
1.726,1.322,0
1.488,0.235,0
1.625,0.934,0
1.590,0.662,0
1.218,0.589,0
1.154,0.739,0
1.435,0.334,0
0.924,0.190,0
0.805,1.785,1
2.548,0.545,0
1.274,1.036,0
1.404,1.166,0
1.335,0.746,0
1.434,0.817,0
1.434,0.940,1
1.461,1.506,1
0.988,0.834,0
2.158,1.268,0
1.039,0.544,0
2.261,0.506,0
0.598,0.668,0
0.880,0.793,0
2.218,0.854,0
1.328,1.842,1
1.049,1.008,1
1.680,0.661,0
0.886,1.883,1
1.469,0.763,0
0.524,0.776,1
1.158,0.834,0
1.059,0.533,0
1.809,0.352,0
2.105,0.686,0
0.966,0.539,0
2.927,0.399,0
1.087,0.681,0
0.563,0.573,0
0.486,0.463,0
2.836,0.243,0
1.364,0.582,0
1.060,1.662,0
1.014,1.035,1
0.868,1.150,0
2.608,0.631,0
1.366,1.134,0
3.176,0.443,0
1.298,0.498,0
0.493,0.847,0
2.075,0.294,0
1.202,0.659,0
1.275,0.752,0
2.873,1.599,0
1.260,0.437,0
2.394,0.803,1
1.416,0.448,0
1.012,0.475,0
1.783,0.147,0
1.083,0.383,0
2.466,1.194,0
2.186,0.847,0
1.460,0.696,0
1.867,2.442,1
1.830,0.857,0
1.254,0.326,0
2.123,0.572,0
1.281,0.619,0
1.873,1.531,0
0.925,0.392,0
1.486,0.804,0
1.711,1.087,0
0.995,0.411,0
1.178,0.670,0
1.117,0.214,0
1.971,0.675,0
1.028,0.193,0
1.731,0.518,0
2.823,1.629,0
1.669,0.799,0
0.689,0.657,0
1.505,0.694,0
2.273,2.066,0
1.251,0.864,0
2.345,1.126,0
1.880,0.504,0
1.721,0.505,0
1.266,0.362,0
1.131,0.581,0
1.269,0.437,0
1.465,1.093,0
1.803,0.907,0
1.722,0.600,0
1.245,0.476,0
1.468,0.133,0
1.697,0.464,0
0.686,0.755,0
1.009,0.916,0
0.996,0.120,0
1.302,0.173,0
1.260,0.697,0
1.271,0.365,0
0.964,0.568,0
1.932,0.494,0
1.618,0.880,0
0.682,0.233,1
1.437,0.469,0
0.860,1.067,0
3.073,0.716,0
1.164,0.407,0
1.197,0.818,0
1.484,0.747,0
1.306,0.394,0
1.392,0.931,0
2.868,0.923,0
1.583,0.595,0
2.082,1.067,1
2.374,0.338,0
0.922,0.969,1
3.058,0.576,0
1.949,0.384,0
2.200,0.463,0
0.970,1.206,0
2.066,0.473,0
1.723,0.530,0
1.123,0.448,0
3.996,0.416,0
1.846,1.079,0
1.285,2.131,1
1.561,1.324,0
2.155,0.843,0
2.380,0.965,0
1.859,0.530,0
2.475,0.488,0
2.774,0.338,0
0.821,1.399,1
1.150,0.532,0
0.938,0.433,0
1.496,0.452,0
2.741,0.710,0
1.921,0.475,0
0.894,0.646,0
1.255,0.701,0
2.275,1.324,0
1.127,0.326,0
1.371,0.752,0
1.642,0.439,0
0.631,0.507,0
2.034,1.543,0
1.670,0.899,0
1.849,0.519,0
0.922,0.836,0
1.013,0.633,0
1.095,1.171,1
1.603,0.491,0
1.478,0.835,0
1.517,0.572,0
3.207,0.644,0
2.577,0.589,0
1.036,0.457,0
1.067,0.679,0
3.099,1.091,0
1.242,0.461,0
2.663,0.519,0
2.940,0.783,0
1.122,0.425,0
1.268,1.028,0
1.486,0.940,0
0.971,0.184,0
0.922,0.449,0
1.195,0.356,0
2.102,1.004,0
1.171,1.067,0
1.305,0.334,0
1.161,0.442,0
0.775,0.613,0
2.793,0.524,0
0.499,0.947,0
1.067,1.091,0
1.841,0.884,0
0.764,1.159,0
1.880,1.066,0
2.516,0.617,0
0.972,0.507,0
1.573,0.430,0
0.869,1.000,0
1.799,1.040,0
1.490,1.113,0
1.577,0.537,0
2.647,0.519,0
1.770,0.741,0
2.623,1.266,0
1.904,0.779,0
0.834,0.725,0
1.610,0.410,0
1.784,0.816,0
0.747,0.859,0
2.609,0.384,0
1.476,1.664,0
1.689,0.390,0
0.956,1.062,0
1.479,0.575,0
1.638,0.701,0
1.236,0.419,0
1.484,0.473,0
0.551,0.939,0
2.642,0.578,0
0.867,0.534,0
0.536,1.039,1
0.929,0.945,0
0.983,0.703,0
1.828,0.728,0
0.949,1.633,0
1.626,0.587,0
0.929,0.793,0
3.863,0.809,0
1.829,0.301,0
3.451,0.225,0
0.906,0.688,0
1.929,1.028,0
0.930,0.717,0
1.856,0.481,0
1.941,0.451,0
0.698,0.998,0
0.858,0.547,0
0.846,0.269,0
0.727,0.929,0
1.029,0.731,0
0.928,0.790,0
0.746,1.129,0
1.493,1.317,0
1.826,0.870,0
0.791,0.585,0
1.112,0.204,0
1.433,0.754,0
1.287,0.593,0
1.042,1.313,0
2.056,1.283,0
2.090,0.831,0
1.938,1.349,0
1.299,0.617,0
3.488,0.627,0
3.123,0.406,0
1.191,0.543,0
1.351,0.720,0
2.435,1.139,0
0.995,0.432,0
1.706,0.991,0
1.456,2.281,1
1.039,0.310,0
1.285,0.559,0
0.703,0.650,0
1.117,1.107,1
0.581,1.884,1
3.977,1.253,0
2.806,0.630,0
2.477,0.405,0
1.632,0.623,0
2.233,0.629,0
2.525,0.733,0
2.250,0.396,0
2.153,1.467,0
0.945,0.434,0
1.727,0.929,0
1.119,0.721,0
0.837,0.355,1
0.851,0.665,0
1.725,0.649,0
2.285,0.580,0
0.769,0.994,0
3.120,0.496,0
2.755,2.550,1
1.198,1.184,0
1.154,0.391,0
1.376,0.166,0
2.211,1.267,0
1.196,0.735,0
0.864,0.671,0
1.658,0.378,0
0.561,0.294,0
1.513,0.233,0
2.393,2.582,0
1.629,1.531,0
2.017,0.475,0
1.773,1.776,1
1.970,0.234,0
1.515,0.937,0
0.977,0.940,1
1.283,0.402,0
1.373,0.500,0
2.500,0.363,0
2.950,0.655,0
1.715,1.309,0
1.011,1.100,0
1.022,0.803,0
1.304,1.176,0
2.651,0.242,0
1.650,1.923,0
1.384,0.622,0
1.006,0.312,0
2.111,0.519,0
1.616,0.449,0
1.387,0.673,0
1.487,0.758,0
3.031,0.179,0
1.320,1.271,0
3.034,1.641,0
2.482,0.363,0
1.453,1.430,0
2.112,1.270,0
1.342,1.111,0
0.977,1.558,1
1.258,0.299,0
0.943,0.950,1
1.786,0.368,0
1.429,2.331,1
1.832,0.376,0
2.059,0.327,0
0.349,1.180,1
1.633,0.898,0
0.631,0.649,0
1.530,0.689,0
0.956,0.894,0
1.487,1.644,0
2.623,0.433,0
0.658,0.470,0
1.546,0.466,0
1.370,0.614,0
0.606,0.643,1
1.900,0.316,0
1.441,0.754,0
1.129,0.319,0
1.026,0.539,0
6.000,0.557,0
1.189,0.559,0
0.631,1.439,1
0.933,1.567,0
1.203,1.153,1
1.194,1.522,0
1.370,0.546,0
0.886,1.382,0
1.811,0.620,0
1.141,0.723,0
0.769,0.741,0
0.983,0.307,0
1.194,0.457,0
2.079,0.585,0
1.765,0.780,0
1.219,0.595,0
1.432,0.400,0
1.563,0.338,0
3.552,0.641,0
1.075,0.333,0
1.751,0.334,0
1.968,0.603,0
0.924,0.703,0
1.545,0.404,0
1.527,0.240,0
1.149,0.747,0
1.832,1.000,0
2.254,0.510,0
2.360,0.519,0
1.302,0.178,0
1.546,1.047,0
4.087,0.349,0
0.864,0.947,0
1.568,0.461,0
2.118,0.590,0
1.518,0.575,0
1.906,0.237,0
1.534,2.894,1
1.992,0.270,0
2.527,0.677,0
1.284,0.408,0
1.551,0.560,0
1.384,1.360,1
1.183,0.229,0
1.407,0.590,0
0.853,0.836,0
1.984,0.681,0
3.053,0.793,0
3.056,0.422,0
2.520,0.259,0
0.920,0.310,1
2.812,0.509,0
1.028,0.959,0
1.386,0.667,0
3.257,1.541,0
0.876,0.674,0
2.072,0.709,0
1.611,0.712,0
1.325,0.246,0
0.957,0.875,1
1.716,0.346,1
1.152,0.517,0
2.271,2.314,0
2.462,0.323,0
0.763,0.681,0
1.130,0.749,1
1.229,0.685,0
0.834,0.639,0
0.858,0.469,0
1.477,1.907,1
1.292,0.212,0
0.675,0.363,0
1.114,1.442,0
1.792,0.862,0
0.825,0.419,0
0.936,0.389,0
2.899,0.556,0
2.567,2.723,1
0.684,0.836,0
0.773,0.362,0
1.682,0.727,0
0.830,0.452,0
1.266,1.454,0
1.158,0.750,0
1.826,1.275,0
0.455,0.697,0
0.527,1.957,1
0.817,0.800,0
2.239,0.744,0
1.324,0.364,0
0.658,0.506,0
1.772,0.790,0
1.951,0.485,0
1.270,2.505,1
1.223,0.634,0
1.728,0.419,0
2.446,1.098,0
1.520,0.477,0
1.804,0.798,0
1.389,0.606,0
1.195,0.429,0
0.940,1.368,1
1.593,0.671,0
1.240,1.160,0
1.272,0.529,0
2.156,0.291,0
1.768,0.322,0
2.099,0.479,0
0.698,0.576,0
1.824,0.657,0
1.088,0.846,0
0.986,0.322,0
0.967,0.723,0
2.448,0.326,0
2.060,0.438,0
1.028,2.614,1
0.851,1.285,0
1.428,0.522,0
1.154,1.709,1
2.995,1.392,0
0.735,1.040,0
0.623,1.429,0
1.265,0.556,0
1.426,0.595,0
1.506,0.397,1
1.992,0.879,0
3.607,0.320,0
1.216,0.483,0
1.111,0.821,0
0.643,0.483,0
1.583,0.772,0
2.083,1.740,0
1.262,0.371,0
2.414,1.380,0
1.439,0.438,0
2.806,0.381,0
1.649,0.722,0
0.882,1.123,1
1.065,0.431,0
0.712,0.427,0
0.649,0.501,0
1.600,0.429,0
2.099,0.707,0
3.419,0.431,0
1.384,0.554,0
1.276,0.775,0
0.862,0.507,0
2.213,1.203,0
1.691,0.439,0
1.086,0.417,0
1.934,1.956,0
1.827,1.460,0
0.612,0.663,1
1.982,1.007,0
1.509,0.769,0
1.190,0.482,0
1.176,0.925,0
3.117,0.754,0
2.833,1.290,0
3.227,0.231,0
0.846,0.994,0
1.057,0.699,0
2.133,0.437,0
0.824,0.504,0
1.026,0.510,0
0.630,0.308,0
3.267,0.465,0
2.289,0.981,0
1.744,0.277,0
1.566,0.519,0
1.176,0.174,0
1.186,0.465,0
1.872,0.791,0
1.030,0.620,0
2.465,0.653,0
1.137,0.345,0
0.958,0.872,0
2.545,0.388,0
1.330,1.051,0
1.822,0.716,0
1.177,0.516,0
0.516,1.444,1
1.815,0.513,0
0.774,1.120,0
2.309,0.676,0
0.706,0.638,0
0.613,1.106,1
1.630,0.811,0
1.718,0.635,0
1.489,0.598,0
0.822,0.717,0
2.117,0.669,0
0.734,0.533,0
1.152,0.361,0
0.995,0.153,0
1.197,0.600,0
2.083,0.558,0
1.067,1.243,0
1.829,0.817,0
1.939,1.195,0
