date,Close,Volume
2025-11-14,109.76,513017
2025-11-17,110.99,829393
2025-11-18,109.82,659750
2025-11-19,110.34,1235493
2025-11-20,109.63,929203
2025-11-21,109.88,895424
2025-11-24,110.69,1084507
2025-11-25,110.71,814461
2025-11-26,110.70,849551
2025-11-27,109.52,1045481
2025-11-28,109.25,1189321
2025-12-01,109.29,706344
2025-12-02,109.67,1263176
2025-12-03,109.95,1390077
2025-12-04,110.25,1165829
2025-12-05,111.18,1298011
2025-12-08,109.90,1787839
2025-12-09,111.03,1952068
2025-12-10,111.77,2819282
2025-12-11,108.34,6034564
2025-12-12,109.26,3595955
2025-12-15,106.94,4603812
2025-12-16,108.82,3745453
2025-12-17,111.15,3853547
2025-12-18,110.76,3644352
2025-12-19,110.83,2644031
2025-12-22,113.49,2644653
2025-12-23,112.73,3097896
2025-12-24,113.20,2768272
2025-12-25,111.73,2784271
2025-12-26,113.87,2498882
2025-12-29,114.24,2146042
2025-12-30,113.79,3362396
2025-12-31,113.72,1272171
2026-01-01,113.58,1280704
2026-01-02,112.89,1409841
2026-01-05,112.16,1598108
2026-01-06,112.77,1567475
2026-01-07,112.14,2009994
2026-01-08,113.84,1078429
2026-01-09,118.78,2143962
2026-01-12,118.15,4127269
2026-01-13,118.83,4189954
2026-01-14,119.65,2875000
2026-01-15,117.92,2913853
2026-01-16,117.85,4407977
2026-01-19,116.35,1846458
2026-01-20,117.24,2610245
2026-01-21,116.60,1817152
2026-01-22,117.21,4481404
2026-01-23,117.09,7178934
2026-01-26,118.36,4892469
2026-01-27,116.78,5980680
2026-01-28,117.83,2911515
2026-01-29,119.17,3005064
2026-01-30,117.32,2586980
2026-02-02,116.18,3422463
2026-02-03,116.03,1821808
2026-02-04,117.32,1785132
2026-02-05,116.66,1944732
2026-02-06,114.35,3393811
2026-02-09,117.01,2420439
2026-02-10,117.11,3307941
2026-02-11,117.04,2138368
2026-02-12,117.41,1598022
2026-02-13,117.64,2028152
2026-02-16,117.27,1191090
2026-02-17,118.19,1165732
2026-02-18,121.24,1400964
2026-02-19,121.61,1140233
2026-02-20,122.78,1369903
2026-02-23,123.28,1390585
2026-02-24,122.91,1680286
2026-02-25,122.13,1971967
2026-02-26,121.80,2003763
2026-02-27,121.69,1291221
2026-03-02,121.89,1384111
2026-03-03,122.65,1209757
2026-03-04,121.63,870344
2026-03-05,121.65,1319358
2026-03-06,122.31,933033
2026-03-09,122.81,1251894
2026-03-10,123.58,848115
2026-03-11,123.34,708476
2026-03-12,123.51,957491
2026-03-13,124.11,745272
2026-03-16,124.05,601041
2026-03-17,124.94,1031734
2026-03-18,125.62,934844
2026-03-19,126.71,892051
2026-03-20,125.84,994852
2026-03-23,125.70,818232
2026-03-24,126.61,447441
2026-03-25,127.64,728631
2026-03-26,127.21,739027
2026-03-27,126.11,928566
2026-03-30,126.31,580990
2026-03-31,126.70,858353
2026-04-01,126.59,814165
2026-04-02,125.87,1226920
2026-04-03,124.81,687937
2026-04-06,124.44,882899
2026-04-07,125.36,1006961
2026-04-08,126.61,1045808
2026-04-09,125.60,1501079
2026-04-10,125.54,1222155
2026-04-13,127.52,991552
2026-04-14,129.25,1876718
2026-04-15,129.33,710731
2026-04-16,129.33,1298083
2026-04-17,128.32,1430223
2026-04-20,129.24,857179
2026-04-21,128.55,950392
2026-04-22,128.50,915513
2026-04-23,129.45,1093554
2026-04-24,128.04,1511117
2026-04-27,128.16,1050559
2026-04-28,128.38,1466113
2026-04-29,127.77,1645556
2026-04-30,129.01,1934928
2026-05-01,130.36,1851795
2026-05-04,130.01,1334468
2026-05-05,131.10,1596261
2026-05-06,131.52,2055970
2026-05-07,133.14,1839723
2026-05-08,132.58,2028882
2026-05-11,133.52,1846086
2026-05-12,134.89,3747720
2026-05-13,133.29,2753578
2026-05-14,132.53,3180307
2026-05-15,131.75,1839854
2026-05-18,130.99,1845392
2026-05-19,133.66,2358104
2026-05-20,133.62,2663160
2026-05-21,133.75,1297537
2026-05-22,132.80,1247295
2026-05-25,132.35,1080109
2026-05-26,132.35,1549020
2026-05-27,130.46,1915675
2026-05-28,130.00,2040283
2026-05-29,130.85,2259581
2026-06-01,128.91,1283590
2026-06-02,129.72,1543692
2026-06-03,129.36,1286462
2026-06-04,129.72,1065685
2026-06-05,130.70,1642833
2026-06-08,130.55,1886877
2026-06-09,131.86,1954620
2026-06-10,133.43,1585717
2026-06-11,132.42,1863774
2026-06-12,133.30,2637325
2026-06-15,133.16,2578368
2026-06-16,134.67,1787670
2026-06-17,135.58,1372120
2026-06-18,135.25,1534836
2026-06-19,130.29,1637955
2026-06-22,129.92,2212841
2026-06-23,129.55,2078476
2026-06-24,130.24,1638646
2026-06-25,131.66,1583325
2026-06-26,131.50,749986
2026-06-29,131.86,1379368
2026-06-30,133.21,1029647
2026-07-01,133.86,1135768
